time,askprice_0,bidprice_0,cache_len,vwap,cache_size
95848000,262100,261900,29, 261734.6533222531,29
95851000,262100,262000,29, 261742.8075488422,29
95854000,261900,261800,29, 261777.98742138364,29
95857000,261900,261800,29, 261785.14285714287,29
95900000,261800,261700,29, 261795.93023255817,29
95903000,261800,261700,29, 261821.06918238994,29
95906000,261800,261700,29, 261824.60063897763,29
95909000,261800,261600,29, 261817.66467065868,29
95912000,261900,261600,29, 261813.46153846153,29
95915000,261800,261700,29, 261812.29508196723,29
95918000,261800,261700,29, 261812.26158038146,29
95921000,261800,261700,29, 261815.19337016574,29
95924000,261900,261700,29, 261816.43835616438,29
95927000,261900,261800,29, 261816.6666666667,29
95930000,261900,261800,29, 261832.55813953487,29
95933000,261900,261800,29, 261837.68545994067,29
95936000,261800,261700,29, 261838.72832369944,29
95939000,261800,261700,29, 261842.72997032639,29
95942000,261800,261700,29, 261845.79439252336,29
95945000,261900,261800,29, 261846.88524590165,29
95948000,261900,261800,29, 261846.22950819673,29
95951000,261800,261700,29, 261845.24590163934,29
95954000,261800,261700,29, 261829.92424242425,29
95957000,261800,261700,29, 261826.81992337166,29
100000000,261800,261700,29, 261825.09505703422,29
100003000,261600,261500,29, 261776.0122124692,29
100006000,261700,261500,29, 261761.54708901202,29
100009000,261800,261600,29, 261757.72813718853,29
100012000,261800,261700,29, 261757.17523864255,29
100015000,261800,261700,30, 261757.17523864255,30
